sub,role,trial,unfairness,choice,choice_RT
10,self,19,50,0,2.651
10,self,20,70,0,2.361
11,self,1,50,0,5.658
11,self,2,85,0,1.685
11,self,3,90,0,3.137
11,self,4,90,0,1.732
11,self,5,75,0,2.477
11,self,6,95,0,2.779
11,self,7,50,0,2.916
11,self,8,70,0,1.753
11,self,9,95,0,2.128
11,self,10,85,0,1.314
11,self,11,80,0,2.056
11,self,12,55,0,13.099
11,self,13,55,0,1.879
11,self,14,60,0,1.266
11,self,15,70,0,3.332
11,self,16,65,0,2.125
11,self,17,65,0,1.834
11,self,18,75,0,3.29
11,self,19,60,0,1.756
11,self,20,80,0,1.351
12,self,1,80,0,5.688
12,self,2,55,0,3.331
12,self,3,90,0,3.393
12,self,4,50,0,3.276
12,self,5,65,0,3.271
12,self,6,70,0,3.279
12,self,7,60,0,3.124
12,self,8,95,0,3.123
12,self,9,90,0,2.979
12,self,10,80,0,2.997
12,self,11,70,0,3.127
12,self,12,75,0,2.626
12,self,13,60,0,3.355
12,self,14,65,0,3.408
12,self,15,50,0,3.443
12,self,16,95,0,2.781
12,self,17,55,0,2.972
12,self,18,85,0,3.131
12,self,19,85,0,3.093
12,self,20,75,0,3.444
14,self,1,65,1,3.674
14,self,2,90,1,3.002
14,self,3,55,0,4.196
14,self,4,95,1,2.608
14,self,5,85,1,2.904
14,self,6,55,0,2.337
14,self,7,60,0,2.475
14,self,8,70,1,3.288
14,self,9,60,0,2.675
14,self,10,90,1,2.259
14,self,11,50,0,2.846
14,self,12,80,1,2.111
14,self,13,50,0,3.663
14,self,14,75,1,2.482
14,self,15,75,1,2.139
14,self,16,80,1,2.631
14,self,17,85,1,2.446
14,self,18,95,1,2.264
14,self,19,70,1,3.443
14,self,20,65,1,2.272
15,self,1,95,0,3.346
15,self,2,80,0,2.854
15,self,3,85,0,2.577
15,self,4,80,0,1.763
15,self,5,95,0,1.85
15,self,6,90,0,1.986
15,self,7,50,0,2.247
15,self,8,65,0,2.014
15,self,9,70,0,1.73
15,self,10,70,0,1.758
15,self,11,65,0,2.403
15,self,12,55,0,2.119
15,self,13,55,0,1.45
15,self,14,90,0,1.955
15,self,15,50,0,1.804
15,self,16,75,0,1.799
15,self,17,60,0,1.928
15,self,18,85,0,2.148
15,self,19,75,0,1.285
15,self,20,60,0,1.556
16,self,1,55,0,2.698
16,self,2,60,0,2.027
16,self,3,95,1,2.45
16,self,4,60,0,2.323
16,self,5,85,1,2.316
16,self,6,80,1,2.336
16,self,7,70,1,2.865
16,self,8,75,1,2.217
16,self,9,65,1,2.482
16,self,10,80,1,2.653
16,self,11,95,1,2.494
16,self,12,50,0,1.97
16,self,13,70,1,2.369
16,self,14,55,0,2.585
16,self,15,90,1,2.536
16,self,16,85,1,2.633
16,self,17,75,1,1.937
16,self,18,65,1,2.313
16,self,19,50,0,2.725
16,self,20,90,1,2.231
18,self,1,75,1,6.255
18,self,2,70,1,6.297
18,self,3,65,1,4.013
18,self,4,60,0,3.125
18,self,5,80,1,3.625
18,self,6,90,1,2.579
18,self,7,50,0,4.803
18,self,8,80,1,3.457
18,self,9,85,1,3.863
18,self,10,75,1,3.478
18,self,11,90,1,4.198
18,self,12,65,0,4.188
18,self,13,60,0,4.82
18,self,14,85,1,3.44
18,self,15,95,1,3.327
18,self,16,95,1,3.118
18,self,17,55,0,3.037
18,self,18,55,0,3.597
18,self,19,50,0,3.37
18,self,20,70,1,3.011
19,self,1,55,0,3.565
19,self,2,80,1,4.568
19,self,3,85,1,2.256
19,self,4,75,1,2.911
19,self,5,95,1,3.403
19,self,6,65,1,2.482
19,self,7,60,0,2.173
19,self,8,50,0,2.268
19,self,9,55,0,2.357
19,self,10,85,1,2.169
19,self,11,50,0,2.014
19,self,12,70,0,1.924
19,self,13,70,0,5.428
19,self,14,65,0,3.164
19,self,15,80,1,7.951
19,self,16,90,1,1.912
19,self,17,75,1,1.487
19,self,18,60,0,2.394
19,self,19,90,1,2.543
19,self,20,95,1,2.418
20,self,1,70,0,8.561
20,self,2,55,0,3.848
20,self,3,80,1,4.401
20,self,4,60,0,4.832
20,self,5,60,0,3.352
20,self,6,90,1,3.024
20,self,7,85,1,3.616
20,self,8,70,1,4.18
20,self,9,55,0,3.616
20,self,10,75,1,3.604
20,self,11,50,0,3.698
20,self,12,95,1,4.784
20,self,13,90,1,6.506
20,self,14,50,0,3.309
20,self,15,85,1,12.576
20,self,16,65,1,3.374
20,self,17,65,0,3.133
20,self,18,95,1,3.783
20,self,19,75,1,3.933
20,self,20,80,1,3.479
21,self,1,90,1,3.413
21,self,2,50,0,4.978
21,self,3,60,0,5.029
21,self,4,90,1,3.397
21,self,5,75,1,5.141
21,self,6,85,1,3.626
21,self,7,95,1,3.855
21,self,8,55,0,3.678
21,self,9,75,1,3.447
21,self,10,70,1,5.169
21,self,11,80,1,3.418
21,self,12,80,1,2.949
21,self,13,95,1,3.22
21,self,14,70,1,3.159
21,self,15,50,0,3.08
21,self,16,65,0,3.313
21,self,17,85,1,3.089
21,self,18,55,0,3.023
21,self,19,60,0,2.569
21,self,20,65,0,2.907
22,self,1,55,0,6.258
22,self,2,90,1,3.524
22,self,3,65,0,4.268
22,self,4,80,1,2.515
22,self,5,50,0,3.198
22,self,6,95,1,2.485
22,self,7,70,1,3.235
22,self,8,55,0,3.062
22,self,9,60,0,2.824
22,self,10,65,0,5.685
22,self,11,85,1,2.763
22,self,12,75,1,28.742
22,self,13,80,1,3.482
22,self,14,70,1,3.305
22,self,15,50,0,3.31
22,self,16,90,1,2.685
22,self,17,85,1,2.661
22,self,18,95,1,2.687
22,self,19,60,0,2.566
22,self,20,75,1,3.872
23,self,1,70,0,18.386
23,self,2,80,1,2.738
23,self,3,60,0,1.848
23,self,4,75,1,1.775
23,self,5,65,0,1.558
23,self,6,75,1,2.693
23,self,7,60,0,2.166
23,self,8,90,1,1.61
23,self,9,95,1,1.664
23,self,10,80,1,1.712
23,self,11,70,0,3.213
23,self,12,55,0,1.757
23,self,13,50,0,1.939
23,self,14,65,0,2.173
23,self,15,55,0,2.216
23,self,16,85,1,2.753
23,self,17,85,1,12.764
23,self,18,95,1,2.808
23,self,19,90,1,1.752
23,self,20,50,0,2.148
24,self,1,70,0,4.959
24,self,2,70,0,3.288
24,self,3,80,0,3.202
24,self,4,95,0,4.634
24,self,5,65,0,2.544
24,self,6,90,0,3.529
24,self,7,75,0,4.282
24,self,8,65,0,8.895
24,self,9,85,0,3.295
24,self,10,55,0,17.611
24,self,11,50,0,3.049
24,self,12,60,0,3.868
24,self,13,60,0,2.886
24,self,14,80,0,3.726
24,self,15,95,0,5.366
24,self,16,55,0,3.306
24,self,17,90,0,2.637
24,self,18,75,0,8.399
24,self,19,50,0,3.425
24,self,20,85,0,3.159
25,self,1,80,1,4.63
25,self,2,55,0,2.513
25,self,3,65,0,6.509
25,self,4,70,1,3.406
25,self,5,80,1,2.213
25,self,6,75,1,2.058
25,self,7,75,1,1.68
25,self,8,70,1,1.791
25,self,9,55,0,3.057
25,self,10,85,1,1.866
25,self,11,60,0,1.675
25,self,12,60,0,1.444
