,sub,trial,inv,mult,ret
232,3,73,3,6,7
233,3,74,10,4,20
234,3,75,5,4,8
235,3,76,2,4,1
236,3,77,4,6,6
237,3,78,6,4,12
238,3,79,10,2,10
239,3,80,4,4,5
240,4,1,6,4,10
241,4,2,5,4,7
242,4,3,2,2,0
243,4,4,4,6,4
244,4,5,6,2,4
245,4,6,2,4,1
246,4,7,2,2,0
247,4,8,0,6,0
248,4,9,5,2,3
249,4,10,9,6,13
250,4,11,8,4,14
251,4,12,3,4,2
252,4,13,8,4,13
253,4,14,2,6,1
254,4,15,6,6,11
255,4,16,8,2,5
256,4,17,7,4,13
257,4,18,6,2,4
258,4,19,3,4,3
259,4,20,3,6,6
260,4,21,6,6,14
261,4,22,7,6,18
262,4,23,8,6,18
263,4,24,5,6,12
264,4,25,1,6,1
265,4,26,0,2,0
266,4,27,4,4,4
267,4,28,7,4,10
268,4,29,10,4,20
269,4,30,3,4,2
270,4,31,10,2,10
271,4,32,5,4,6
272,4,33,1,4,0
273,4,34,4,6,4
274,4,35,0,4,0
275,4,36,5,4,5
276,4,37,4,4,2
277,4,38,5,2,5
278,4,39,1,4,0
279,4,40,5,2,2
280,4,41,0,4,0
281,4,42,8,4,14
282,4,43,9,4,13
283,4,44,10,4,21
284,4,45,1,2,0
285,4,46,9,4,14
286,4,47,4,2,1
287,4,48,10,6,25
288,4,49,4,4,4
289,4,50,10,2,10
290,4,51,2,4,1
291,4,52,5,4,6
292,4,53,3,4,0
293,4,54,6,4,9
294,4,55,10,4,16
295,4,56,7,2,5
296,4,57,3,2,1
297,4,58,5,2,2
298,4,59,5,6,10
299,4,60,10,6,31
300,4,61,2,4,0
301,4,62,5,4,7
302,4,63,5,4,6
303,4,64,2,4,0
304,4,65,3,6,1
305,4,66,5,4,5
306,4,67,9,2,7
307,4,68,6,4,8
308,4,69,5,6,10
309,4,70,6,4,8
310,4,71,4,6,4
311,4,72,5,4,7
312,4,73,6,2,4
313,4,74,10,4,20
314,4,75,10,6,26
315,4,76,3,2,0
316,4,77,5,6,10
317,4,78,9,4,19
