,subject,alpha,beta,tot_best_NLL
0,2,0.3288210633914285,0.11684178802765814,6.392668685106454
0,3,-0.5765535270583726,1.1768753217500332,-0.0
0,4,0.6110461469452635,0.06887213553009279,7.950943486856485
0,5,0.21428571431263554,5.020193195175807,1.3862943611198915
0,6,0.4128742990438623,9.383481432381943,-0.0
0,7,0.089689424645408,14.113175159333665,-0.0
0,8,-0.5598049430242553,0.8177702064843735,-0.0
0,9,0.3985402154839828,10.35129398362017,-0.0
0,10,-0.46342968186696437,1.0860420987666406,-0.0
0,11,-0.1121203101442899,2.454225224970338,-0.0
0,12,-0.44269793686245257,1.0857626456877414,-0.0
0,13,0.7526761321509154,0.33160345616399933,-0.0
0,14,1.4892939734849888,3.940264584976445,-0.0
0,15,-0.8155963228917552,0.9185523379152407,-0.0
0,16,1.6066530217396924,5.639453005066428,-0.0
0,17,0.9339229637333785,0.4551600528367654,-0.0
0,18,1.1666666664774996,2.1499819596329086,1.3862943611198912
0,19,0.7500476540172185,0.13410990062379413,3.9175606707415778
0,20,0.9286449624982311,0.1323697768812554,3.4727986249506855
0,21,0.941046977241212,6.186259679600372,-0.0
0,22,0.9382207707135732,8.826020688555282,-0.0
0,23,0.5978148788629798,7.5852181645293575,-0.0
0,24,-0.3448350469672158,1.074903231778504,-0.0
