sub,gamble_number,choice,choice_label,trial,value_A,value_B,prob_A,prob_B,ev_A,ev_B
36,14,0,B,3,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
36,9,1,A,4,-6000,-3000,0.45,0.9,-2700,-2700
36,15,1,A,5,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
36,17,1,A,7,-5000,-5,1E-3,1,-5,-5
36,1,1,A,8,"2500, 2400",2400,".33, .66",1,2409,2400
36,13,1,A,9,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
36,12,0,B,10,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
36,16,0,B,11,5000,5,1E-3,1,5,5
36,5,0,B,12,6000,3000,0.45,0.9,2700,2700
36,10,1,A,13,-6000,-3000,1E-3,2E-3,-6,-6
36,8,1,A,14,-4000,-3000,0.2,0.25,-800,-750
36,11,0,B,15,4000,3000,0.2,0.25,800,750
36,6,1,A,16,6000,3000,1E-3,2E-3,6,6
36,7,1,A,17,-4000,-3000,0.8,1,-3200,-3000
36,4,1,A,18,4000,3000,0.2,0.25,800,750
37,9,1,A,1,-6000,-3000,0.45,0.9,-2700,-2700
37,14,0,B,2,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
37,1,0,B,3,"2500, 2400",2400,".33, .66",1,2409,2400
37,2,1,A,4,2500,2400,0.33,0.34,825,816.0000000000001
37,15,1,A,5,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
37,16,1,A,7,5000,5,1E-3,1,5,5
37,8,0,B,8,-4000,-3000,0.2,0.25,-800,-750
37,4,1,A,9,4000,3000,0.2,0.25,800,750
37,17,1,A,10,-5000,-5,1E-3,1,-5,-5
37,6,1,A,11,6000,3000,1E-3,2E-3,6,6
37,10,0,B,12,-6000,-3000,1E-3,2E-3,-6,-6
37,12,1,A,13,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
37,11,0,B,14,4000,3000,0.2,0.25,800,750
37,3,0,B,15,4000,3000,0.8,1,3200,3000
37,13,0,B,16,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
37,5,0,B,17,6000,3000,0.45,0.9,2700,2700
37,7,1,A,18,-4000,-3000,0.8,1,-3200,-3000
38,11,1,A,1,4000,3000,0.2,0.25,800,750
38,14,1,A,2,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
38,15,1,A,3,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
38,7,1,A,4,-4000,-3000,0.8,1,-3200,-3000
38,4,1,A,5,4000,3000,0.2,0.25,800,750
38,9,1,A,7,-6000,-3000,0.45,0.9,-2700,-2700
38,8,0,B,8,-4000,-3000,0.2,0.25,-800,-750
38,5,0,B,9,6000,3000,0.45,0.9,2700,2700
38,12,0,B,10,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
38,13,1,A,11,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
38,10,0,B,12,-6000,-3000,1E-3,2E-3,-6,-6
38,1,0,B,13,"2500, 2400",2400,".33, .66",1,2409,2400
38,2,0,B,14,2500,2400,0.33,0.34,825,816.0000000000001
38,3,0,B,15,4000,3000,0.8,1,3200,3000
38,17,1,A,16,-5000,-5,1E-3,1,-5,-5
38,16,0,B,17,5000,5,1E-3,1,5,5
38,6,1,A,18,6000,3000,1E-3,2E-3,6,6
39,12,0,B,1,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
39,4,1,A,2,4000,3000,0.2,0.25,800,750
39,5,1,A,3,6000,3000,0.45,0.9,2700,2700
39,15,1,A,4,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
39,17,1,A,5,-5000,-5,1E-3,1,-5,-5
39,11,0,B,7,4000,3000,0.2,0.25,800,750
39,1,0,B,8,"2500, 2400",2400,".33, .66",1,2409,2400
39,2,1,A,9,2500,2400,0.33,0.34,825,816.0000000000001
39,14,0,B,10,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
39,13,1,A,11,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
39,3,0,B,12,4000,3000,0.8,1,3200,3000
39,8,1,A,13,-4000,-3000,0.2,0.25,-800,-750
39,10,1,A,14,-6000,-3000,1E-3,2E-3,-6,-6
39,6,1,A,15,6000,3000,1E-3,2E-3,6,6
39,9,1,A,16,-6000,-3000,0.45,0.9,-2700,-2700
39,7,0,B,17,-4000,-3000,0.8,1,-3200,-3000
39,16,0,B,18,5000,5,1E-3,1,5,5
40,14,1,A,1,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
40,13,1,A,2,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
40,5,0,B,3,6000,3000,0.45,0.9,2700,2700
40,15,0,B,4,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
40,9,1,A,5,-6000,-3000,0.45,0.9,-2700,-2700
40,2,1,A,7,2500,2400,0.33,0.34,825,816.0000000000001
40,17,0,B,8,-5000,-5,1E-3,1,-5,-5
40,3,0,B,9,4000,3000,0.8,1,3200,3000
40,16,1,A,10,5000,5,1E-3,1,5,5
40,4,1,A,11,4000,3000,0.2,0.25,800,750
40,8,0,B,12,-4000,-3000,0.2,0.25,-800,-750
40,11,0,B,13,4000,3000,0.2,0.25,800,750
40,1,0,B,14,"2500, 2400",2400,".33, .66",1,2409,2400
40,10,0,B,15,-6000,-3000,1E-3,2E-3,-6,-6
40,12,1,A,16,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
40,6,1,A,17,6000,3000,1E-3,2E-3,6,6
40,7,0,B,18,-4000,-3000,0.8,1,-3200,-3000
41,8,0,B,1,-4000,-3000,0.2,0.25,-800,-750
41,14,0,B,2,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
41,7,1,A,3,-4000,-3000,0.8,1,-3200,-3000
41,6,0,B,4,6000,3000,1E-3,2E-3,6,6
41,11,0,B,5,4000,3000,0.2,0.25,800,750
41,4,0,B,7,4000,3000,0.2,0.25,800,750
41,12,0,B,8,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
41,3,0,B,9,4000,3000,0.8,1,3200,3000
41,15,1,A,10,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
41,13,1,A,11,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
41,5,0,B,12,6000,3000,0.45,0.9,2700,2700
41,9,1,A,13,-6000,-3000,0.45,0.9,-2700,-2700
41,17,0,B,14,-5000,-5,1E-3,1,-5,-5
41,1,0,B,15,"2500, 2400",2400,".33, .66",1,2409,2400
41,2,0,B,16,2500,2400,0.33,0.34,825,816.0000000000001
41,10,0,B,17,-6000,-3000,1E-3,2E-3,-6,-6
41,16,1,A,18,5000,5,1E-3,1,5,5
42,12,1,A,1,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
42,10,0,B,2,-6000,-3000,1E-3,2E-3,-6,-6
42,17,0,B,3,-5000,-5,1E-3,1,-5,-5
42,9,1,A,4,-6000,-3000,0.45,0.9,-2700,-2700
42,6,1,A,5,6000,3000,1E-3,2E-3,6,6
42,11,0,B,7,4000,3000,0.2,0.25,800,750
42,13,1,A,8,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
42,5,0,B,9,6000,3000,0.45,0.9,2700,2700
42,16,0,B,10,5000,5,1E-3,1,5,5
42,14,0,B,11,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
42,3,0,B,12,4000,3000,0.8,1,3200,3000
42,2,0,B,13,2500,2400,0.33,0.34,825,816.0000000000001
42,7,1,A,14,-4000,-3000,0.8,1,-3200,-3000
42,1,0,B,15,"2500, 2400",2400,".33, .66",1,2409,2400
42,15,1,A,16,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
42,4,0,B,17,4000,3000,0.2,0.25,800,750
42,8,0,B,18,-4000,-3000,0.2,0.25,-800,-750
43,5,0,B,1,6000,3000,0.45,0.9,2700,2700
43,1,0,B,2,"2500, 2400",2400,".33, .66",1,2409,2400
43,16,1,A,3,5000,5,1E-3,1,5,5
43,3,0,B,4,4000,3000,0.8,1,3200,3000
43,12,0,B,5,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
43,7,1,A,7,-4000,-3000,0.8,1,-3200,-3000
43,11,0,B,8,4000,3000,0.2,0.25,800,750
43,8,1,A,9,-4000,-3000,0.2,0.25,-800,-750
43,17,1,A,10,-5000,-5,1E-3,1,-5,-5
43,14,0,B,11,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
43,15,1,A,12,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
43,4,1,A,13,4000,3000,0.2,0.25,800,750
43,13,1,A,14,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
43,6,1,A,15,6000,3000,1E-3,2E-3,6,6
43,2,0,B,16,2500,2400,0.33,0.34,825,816.0000000000001
43,10,1,A,17,-6000,-3000,1E-3,2E-3,-6,-6
43,9,1,A,18,-6000,-3000,0.45,0.9,-2700,-2700
44,14,1,A,1,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
44,6,1,A,2,6000,3000,1E-3,2E-3,6,6
44,7,1,A,3,-4000,-3000,0.8,1,-3200,-3000
44,9,0,B,4,-6000,-3000,0.45,0.9,-2700,-2700
44,12,1,A,5,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
44,10,0,B,7,-6000,-3000,1E-3,2E-3,-6,-6
44,13,0,B,8,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
44,16,0,B,9,5000,5,1E-3,1,5,5
44,15,0,B,10,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
44,11,0,B,11,4000,3000,0.2,0.25,800,750
44,3,0,B,12,4000,3000,0.8,1,3200,3000
44,17,0,B,13,-5000,-5,1E-3,1,-5,-5
44,8,0,B,14,-4000,-3000,0.2,0.25,-800,-750
44,2,1,A,15,2500,2400,0.33,0.34,825,816.0000000000001
44,1,0,B,16,"2500, 2400",2400,".33, .66",1,2409,2400
44,5,1,A,17,6000,3000,0.45,0.9,2700,2700
44,4,0,B,18,4000,3000,0.2,0.25,800,750
45,12,0,B,1,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
45,17,1,A,2,-5000,-5,1E-3,1,-5,-5
45,9,1,A,3,-6000,-3000,0.45,0.9,-2700,-2700
45,7,1,A,4,-4000,-3000,0.8,1,-3200,-3000
45,11,0,B,5,4000,3000,0.2,0.25,800,750
